"","parameter","forkortelse","enhet","kategori_1","kategori_2","dato","sigevann","verdi","LOQ","verdi_korr","gv_min","gv_max","GV_over","provepunkt","krav"
"1","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"inn","8",FALSE,8,"50",NA,FALSE,152,TRUE
"2","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"inn","8.1",FALSE,8.1,"50",NA,FALSE,152,TRUE
"3","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"inn","7.8",FALSE,7.8,"50",NA,FALSE,152,TRUE
"4","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"inn","8.4",FALSE,8.4,"50",NA,FALSE,152,TRUE
"5","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"inn","11.1",FALSE,11.1,"50",NA,FALSE,152,TRUE
"6","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"inn","13.5",FALSE,13.5,"50",NA,FALSE,152,TRUE
"7","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"inn","7.9",FALSE,7.9,"50",NA,FALSE,152,TRUE
"8","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"inn","6.4",FALSE,6.4,"50",NA,FALSE,152,TRUE
"9","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"inn","16.5",FALSE,16.5,"50",NA,FALSE,152,TRUE
"10","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"ut","6",FALSE,6,"50",NA,FALSE,151,TRUE
"11","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"ut","5.8",FALSE,5.8,"50",NA,FALSE,151,TRUE
"12","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"ut","5.4",FALSE,5.4,"50",NA,FALSE,151,TRUE
"13","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"ut","6.5",FALSE,6.5,"50",NA,FALSE,151,TRUE
"14","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"ut","10.4",FALSE,10.4,"50",NA,FALSE,151,TRUE
"15","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"ut","7.2",FALSE,7.2,"50",NA,FALSE,151,TRUE
"16","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"ut","5",FALSE,5,"50",NA,FALSE,151,TRUE
"17","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"ut","5.5",FALSE,5.5,"50",NA,FALSE,151,TRUE
"18","Arsen (As)","As","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"ut","5.0999999999999996",FALSE,5.1,"50",NA,FALSE,151,TRUE
"19","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-10-24,"inn","202",FALSE,202,"300",NA,FALSE,152,TRUE
"20","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-10-31,"inn","119",FALSE,119,"300",NA,FALSE,152,TRUE
"21","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-11-07,"inn","107",FALSE,107,"300",NA,FALSE,152,TRUE
"22","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-11-21,"inn","214",FALSE,214,"300",NA,FALSE,152,TRUE
"23","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-12-12,"inn","95.6",FALSE,95.6,"300",NA,FALSE,152,TRUE
"24","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2023-02-13,"inn","306",FALSE,306,"300",NA,TRUE,152,TRUE
"25","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2023-02-27,"inn","180",FALSE,180,"300",NA,FALSE,152,TRUE
"26","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-11-14,"inn","40.5",FALSE,40.5,"300",NA,FALSE,152,TRUE
"27","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2023-03-15,"inn","316",FALSE,316,"300",NA,TRUE,152,TRUE
"28","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-10-24,"ut","165",FALSE,165,"300",NA,FALSE,151,TRUE
"29","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-10-31,"ut","52.2",FALSE,52.2,"300",NA,FALSE,151,TRUE
"30","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-11-07,"ut","50.5",FALSE,50.5,"300",NA,FALSE,151,TRUE
"31","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-11-21,"ut","62.5",FALSE,62.5,"300",NA,FALSE,151,TRUE
"32","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-12-12,"ut","63",FALSE,63,"300",NA,FALSE,151,TRUE
"33","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2023-02-13,"ut","107",FALSE,107,"300",NA,FALSE,151,TRUE
"34","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2023-02-27,"ut","123",FALSE,123,"300",NA,FALSE,151,TRUE
"35","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2022-11-14,"ut","21.2",FALSE,21.2,"300",NA,FALSE,151,TRUE
"36","BOF-5","BOF-5","mg/l","vannparameter","organisk materiale",2023-03-15,"ut","17.600000000000001",FALSE,17.6,"300",NA,FALSE,151,TRUE
"37","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"inn","<0,2",TRUE,0.2,"5",NA,FALSE,152,TRUE
"38","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"ut","<0,2",TRUE,0.2,"5",NA,FALSE,151,TRUE
"39","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"inn","0.55000000000000004",FALSE,0.55,"5",NA,FALSE,152,TRUE
"40","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"ut","0.24",FALSE,0.24,"5",NA,FALSE,151,TRUE
"41","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"inn","0.26",FALSE,0.26,"5",NA,FALSE,152,TRUE
"42","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"ut","0.2",FALSE,0.2,"5",NA,FALSE,151,TRUE
"43","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"inn","0.92",FALSE,0.92,"5",NA,FALSE,152,TRUE
"44","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"ut","<0,2",TRUE,0.2,"5",NA,FALSE,151,TRUE
"45","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"inn","0.63",FALSE,0.63,"5",NA,FALSE,152,TRUE
"46","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"ut","<0,2",TRUE,0.2,"5",NA,FALSE,151,TRUE
"47","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"inn","0.25",FALSE,0.25,"5",NA,FALSE,152,TRUE
"48","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"ut","<0,2",TRUE,0.2,"5",NA,FALSE,151,TRUE
"49","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"inn","0.54",FALSE,0.54,"5",NA,FALSE,152,TRUE
"50","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"ut","<0,2",TRUE,0.2,"5",NA,FALSE,151,TRUE
"51","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"inn","0.35",FALSE,0.35,"5",NA,FALSE,152,TRUE
"52","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"ut","<0,2",TRUE,0.2,"5",NA,FALSE,151,TRUE
"53","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"inn","1.88",FALSE,1.88,"5",NA,FALSE,152,TRUE
"54","Kadmium (Cd)","Cd","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"ut","<0.20",TRUE,0.2,"5",NA,FALSE,151,TRUE
"55","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"inn","13",FALSE,13,"50",NA,FALSE,152,TRUE
"56","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"inn","19",FALSE,19,"50",NA,FALSE,152,TRUE
"57","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"inn","15.1",FALSE,15.1,"50",NA,FALSE,152,TRUE
"58","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"inn","30.9",FALSE,30.9,"50",NA,FALSE,152,TRUE
"59","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"inn","17.399999999999999",FALSE,17.4,"50",NA,FALSE,152,TRUE
"60","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"inn","29.1",FALSE,29.1,"50",NA,FALSE,152,TRUE
